aggregateTime,广告系列名称,广告系列ID,推广目标,广告组ID,广告组名称,推广应用,定向国家,广告ID,广告名称,展示数,点击数,CTR,CPM(USD),CPC(USD),花费(USD),转化量,转化率,转化成本(USD),单次转化价值(USD),去重安装数,去重安装率,去重安装成本(USD),点击归因安装数,点击归因安装率,点击归因安装成本(USD)
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42810584560996608,花-0919-复制,com.video.music.editor.maker,bd,32810584563388672,in_220831_chenweiyu_9X16_vido3.mp4-Copy1-1663580216,28848,1725,5.98%,0.02,0.00,0.66,22,1.28%,0.03,0.00,22,0.012753623188405797,0.03,22,1.28%,0.03
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42810584560996608,花-0919-复制,com.video.music.editor.maker,bd,32810584562012416,in_220816_chenweiyu_9x16_vido01.mp4-Copy1-1663580216,326,15,4.60%,0.01,0.00,0.00,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756955806897408,美颜-0831,com.video.music.editor.maker,bd,32756955807782144,pk_210830_chinweiyu_1X1_vido14.mp4,11389,22,0.19%,0.00,0.00,0.01,1,4.55%,0.01,0.00,1,0.045454545454545456,0.01,1,4.55%,0.01
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42796389392585216,黑白-0914,com.video.music.editor.maker,bd,32796389394092544,in_220825_chenweiyu_9X16_vido17.mp4,99,10,10.10%,0.13,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42851970541687552,bd_wl_0922 _迭代素材-Copy1-1664843438,com.video.music.editor.maker,ae,32851970542211840,catcut_in_220920_liaoluhui_1X1_boy 04.mp4-Copy1-1664843438,4,1,25%,0.03,0.00,0.00,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810654828991232,catcut_gcc_起量_bigo_wl_0919,com.video.music.editor.maker,ae,32810654829843200,文件09.mp4-008,1207,9,0.75%,0.01,0.00,0.02,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42872766092056832,catcut_中东_wsy_1011_zgp,com.video.music.editor.maker,sa,32872766092974336,in_221010_zhangguiping_1X1_vido21.mp4_1,1159,28,2.42%,0.06,0.00,0.07,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_wsy_迭代素材,52813461375324160,应用安装量,42813461377519616,bd_wsy_0920_迭代素材,com.video.music.editor.maker,bd,32813461377945600,diedai,16116,1084,6.73%,0.08,0.00,1.24,60,5.54%,0.02,0.00,60,0.055350553505535055,0.02,51,4.70%,0.02
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870171064308480,bd_wsy_1010_zgp_c,com.video.music.editor.maker,bd,32870171064668928,in_221010_zhangguiping_1X1_vido17.mp4,42205,2133,5.05%,0.03,0.00,1.34,22,1.03%,0.06,0.00,22,0.010314111579934365,0.06,22,1.03%,0.06
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42851970541687552,bd_wl_0922 _迭代素材-Copy1-1664843438,com.video.music.editor.maker,sa,32851970543063808,catcut_in_220920_liaoluhui_1X1_boy 05.mp4-Copy1-1664843438,3,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42851976237912576,bd_wl_0922 _迭代素材-Copy1-1664843634,com.video.music.editor.maker,bd,32851976238862848,catcut_in_220920_liaoluhui_1X1_boy 04.mp4-Copy1-1664843634,78850,4251,5.39%,0.04,0.00,2.98,89,2.09%,0.03,0.00,89,0.02093625029404846,0.03,80,1.88%,0.04
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42866444591174400,catcut_kz_wsy_1009_bigo,com.video.music.editor.maker,tr,32866444592452352,in_220930_wangshiyu_04.mp4,23563,517,2.19%,0.04,0.00,0.88,11,2.13%,0.08,0.00,11,0.02127659574468085,0.08,10,1.93%,0.09
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42779106921615360,catcut_bd_wsy_0908_b,com.video.music.editor.maker,bd,32779106922041344,01-Copy1-1662619601,2,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810656860541696,出量视频-0831-Copy1-0919,com.video.music.editor.maker,ae,32810656861459200,vido_chenweiyu_1X1_220805.mp4-Copy1-1662024330-Copy1-1663582397,218,14,6.42%,0.04,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42795756467196160,bd_wsy_0914,com.video.music.editor.maker,bd,32795756468179200,广告-2022090658359-Copy1-1663127669,1372,66,4.81%,0.02,0.00,0.03,1,1.52%,0.03,0.00,1,0.015151515151515152,0.03,1,1.52%,0.03
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42796383846436864,换脸-0914,com.video.music.editor.maker,bd,32796383846928384,vido03_chenweiyu_16X9_220728.mp4-008,3657,94,2.57%,0.03,0.00,0.10,5,5.32%,0.02,0.00,5,0.05319148936170213,0.02,2,2.13%,0.05
2022-10-11,catcut_bd_wsy_迭代素材,52813461375324160,应用安装量,42813461377519616,bd_wsy_0920_迭代素材,com.video.music.editor.maker,bd,32813461378699264,catcut_in_220920_liaoluhui_1X1_boy03.mp4,50643,2635,5.20%,0.06,0.00,3.20,125,4.74%,0.03,0.00,125,0.04743833017077799,0.03,110,4.17%,0.03
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756929263113728,出量视频-0831,com.video.music.editor.maker,bd,32756929267635712,文件09.mp4,24378,37,0.15%,0.00,0.00,0.02,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870166344733440,bd_wsy_1010_zgp_a,com.video.music.editor.maker,bd,32870166345945856,in_221010_zhangguiping_1X1_vido12.mp4,81635,3225,3.95%,0.03,0.00,2.32,36,1.12%,0.06,0.00,36,0.011162790697674419,0.06,35,1.09%,0.07
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42872766092056832,catcut_中东_wsy_1011_zgp,com.video.music.editor.maker,ae,32872766094448896,zgp_爱心,6088,192,3.15%,0.12,0.00,0.75,2,1.04%,0.38,0.00,2,0.010416666666666666,0.38,2,1.04%,0.38
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870166344733440,bd_wsy_1010_zgp_a,com.video.music.editor.maker,bd,32870166345192192,in_221010_zhangguiping_1X1_vido9.mp4,69430,4238,6.10%,0.02,0.00,1.46,26,0.61%,0.06,0.00,26,0.006134969325153374,0.06,25,0.59%,0.06
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42841370833228544,catcut_中东_wsy_boy,com.video.music.editor.maker,ae,32841370834440960,iaoluhui_1X1_boy05.mp4,36407,1889,5.19%,0.20,0.00,7.13,70,3.71%,0.10,0.00,70,0.037056643726839596,0.10,55,2.91%,0.13
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870161892087296,bd_wsy_1010_zgp_b,com.video.music.editor.maker,bd,32870161892939264,in_221010_zhangguiping_1X1_vido1.mp4,75059,4178,5.57%,0.02,0.00,1.62,40,0.96%,0.04,0.00,40,0.009573958831977022,0.04,39,0.93%,0.04
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810654828991232,catcut_gcc_起量_bigo_wl_0919,com.video.music.editor.maker,ae,32810654831186688,in_220825_chenweiyu_1x1_vido16.mp4--0,608,10,1.64%,0.04,0.00,0.02,1,10%,0.02,0.00,1,0.1,0.02,1,10%,0.02
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810660067119360,bd_wl_0919,com.video.music.editor.maker,sa,32810660067938560,广告-2022090658359-Copy1-1663582467,271,9,3.32%,0.27,0.01,0.07,6,66.67%,0.01,0.00,6,0.6666666666666666,0.01,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42851976237912576,bd_wl_0922 _迭代素材-Copy1-1664843634,com.video.music.editor.maker,bd,32851976240239104,catcut_in_220920_liaoluhui_1X1_boy 05.mp4-Copy1-1664843634,165406,9671,5.85%,0.08,0.00,13.92,454,4.69%,0.03,0.00,454,0.04694447316720091,0.03,398,4.12%,0.03
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42795764287377664,bd_wsy_0914_a,com.video.music.editor.maker,bd,32795764288393472,pk_210830_chenweiyu_1X1_vido16.mp4,21,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42872981832636416,wsy_1011,com.video.music.editor.maker,bd,32872981833062400,in_220816_chenweiyu_9x16_vido01.mp4-Copy1-1665484423,4275,229,5.36%,0.03,0.00,0.12,0,0%,-,-,0,0,-,1,0.44%,0.12
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42819011715897088,bd_wsy_0922_热门模版-d,com.video.music.editor.maker,bd,32819011716388608,CayCut_in_220922_zhangguiping_9X16_3,0,0,-,-,-,0.00,26,-,0.00,0.00,26,-,0.00,0,-,-
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42841370833228544,catcut_中东_wsy_boy,com.video.music.editor.maker,sa,32841370834440960,iaoluhui_1X1_boy05.mp4,114174,4987,4.37%,0.10,0.00,11.88,74,1.48%,0.16,0.00,74,0.014838580308802888,0.16,65,1.30%,0.18
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42872766092056832,catcut_中东_wsy_1011_zgp,com.video.music.editor.maker,sa,32872766094448896,zgp_爱心,3567,96,2.69%,0.10,0.00,0.35,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756955806897408,美颜-0831,com.video.music.editor.maker,bd,32756955810534656,pk_210816_chinweiyu_1X1_vido05.mp4-Copy1-1661943466,70,13,18.57%,0.05,0.00,0.00,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42841353854292480,catcut_kz_wsy_0930_bigo,com.video.music.editor.maker,tr,32841358427296256,蒙娜丽莎,0,0,-,-,-,0.00,3,-,0.00,0.00,3,-,0.00,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810656860541696,出量视频-0831-Copy1-0919,com.video.music.editor.maker,sa,32810656861459200,vido_chenweiyu_1X1_220805.mp4-Copy1-1662024330-Copy1-1663582397,30,1,3.33%,0.31,0.01,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42762124234659584,出量视频-0831-Copy1-0902,com.video.music.editor.maker,bd,32762124236625664,pk_210816_chinweiyu_1X1_vido05.mp4-Copy1-1662100988,2,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_bd_wsy_迭代素材,52813461375324160,应用安装量,42819033146955520,bd_wsy_0922 _迭代素材,com.video.music.editor.maker,bd,32819033148593920,catcut_in_220920_liaoluhui_1X1_boy 05.mp4,952471,49423,5.19%,0.06,0.00,56.06,2112,4.27%,0.03,0.00,2112,0.04273314044068551,0.03,1899,3.84%,0.03
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42779069810643456,catcut_bd_wsy_0908,com.video.music.editor.maker,bd,32779069811823104,广告-2022090658359-Copy1-1662618439,4,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42762124234659584,出量视频-0831-Copy1-0902,com.video.music.editor.maker,bd,32762124235151104,vido_chenweiyu_1X1_220805.mp4-Copy1-1662100988,3,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42796377055924480,小男孩-0914,com.video.music.editor.maker,bd,32796377056809216,pk_210830_chinweiyu_1X1_vido14.mp4-Copy1-1663146536,95,6,6.32%,0.01,0.00,0.00,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756935363564800,出量视频-0831-Copy1,com.video.music.editor.maker,bd,32756935364678912,vido_chenweiyu_1X1_220805.mp4-Copy1-1661942826,3397,171,5.03%,0.03,0.00,0.10,5,2.92%,0.02,0.00,5,0.029239766081871343,0.02,3,1.75%,0.03
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42807428907339776,bd_wl_0906_1-Copy1-1663484,com.video.music.editor.maker,bd,32807428907798528,广告-2022090658359-Copy1-1663484147,5,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870161892087296,bd_wsy_1010_zgp_b,com.video.music.editor.maker,bd,32870161894413824,in_221010_zhangguiping_1X1_vido3.mp4,21627,959,4.43%,0.04,0.00,0.91,8,0.83%,0.11,0.00,8,0.008342022940563087,0.11,8,0.83%,0.11
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42773625148578560,bd_wsy_0906_1,com.video.music.editor.maker,bd,32773625149627136,广告-2022090658359,207000,12802,6.18%,0.06,0.00,12.66,406,3.17%,0.03,0.00,406,0.03171379471957507,0.03,270,2.11%,0.05
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42872981832636416,wsy_1011,com.video.music.editor.maker,bd,32872981833684992,in_220831_chenweiyu_9X16_vido3.mp4-Copy1-1665484423,5022,261,5.20%,0.03,0.00,0.15,4,1.53%,0.04,0.00,4,0.01532567049808429,0.04,4,1.53%,0.04
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810654828991232,catcut_gcc_起量_bigo_wl_0919,com.video.music.editor.maker,sa,32810654829843200,文件09.mp4-008,2279,5,0.22%,0.02,0.01,0.04,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42779095307784192,catcut_bd_wsy_0908_a,com.video.music.editor.maker,bd,32779095308242944,01,1,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42816015594460672,gcc-坐-0921,com.video.music.editor.maker,sa,32816015595279872,pk_210830_chenweiyu_1X1_vido01.mp4-09,240,9,3.75%,0.12,0.00,0.03,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42819011715897088,bd_wsy_0922_热门模版-d,com.video.music.editor.maker,bd,32819011717306112,CayCut_in_220922_zhangguiping_9X16_4,0,0,-,-,-,0.00,22,-,0.00,0.00,22,-,0.00,0,-,-
2022-10-11,catcut_bd_wsy_迭代素材,52813461375324160,应用安装量,42819033146955520,bd_wsy_0922 _迭代素材,com.video.music.editor.maker,bd,32819033147971328,catcut_in_220920_liaoluhui_1X1_boy 04.mp4,638094,37904,5.94%,0.04,0.00,26.06,1036,2.73%,0.03,0.00,1036,0.027332207682566483,0.03,895,2.36%,0.03
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42779106921615360,catcut_bd_wsy_0908_b,com.video.music.editor.maker,bd,32779106922696704,换脸-Copy1-1662619601,6,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42838181733932800,gcc-画-0929,com.video.music.editor.maker,sa,32838181734653696,画-0929,6751,69,1.02%,0.20,0.02,1.36,14,20.29%,0.10,0.00,14,0.2028985507246377,0.10,7,10.14%,0.19
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756935363564800,出量视频-0831-Copy1,com.video.music.editor.maker,bd,32756935382308096,vido01_chenweiyu_9X16_220728.mp4,21665,25,0.12%,0.00,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42796250874155264,Cc_bd_wsy_0914,com.video.music.editor.maker,bd,32796250875171072,广告-2022090658359-Copy1-1663142773,3356,216,6.44%,0.03,0.00,0.09,4,1.85%,0.02,0.00,4,0.018518518518518517,0.02,4,1.85%,0.02
2022-10-10,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42810584560996608,花-0919-复制,com.video.music.editor.maker,bd,32810584563388672,in_220831_chenweiyu_9X16_vido3.mp4-Copy1-1663580216,15586,678,4.35%,0.02,0.00,0.34,12,1.77%,0.03,0.00,12,0.017699115044247787,0.03,10,1.47%,0.03
2022-10-10,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42818989547854080,bd_wsy_0922_热门模版-a,com.video.music.editor.maker,bd,32818989548640512,CayCut_in_220921_zhangguiping_9X16_cola01.mp4,59184,3084,5.21%,0.02,0.00,1.26,138,4.47%,0.01,0.00,138,0.04474708171206226,0.01,25,0.81%,0.05
2022-10-10,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42851970541687552,bd_wl_0922 _迭代素材-Copy1-1664843438,com.video.music.editor.maker,ae,32851970543063808,catcut_in_220920_liaoluhui_1X1_boy 05.mp4-Copy1-1664843438,7,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-10,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42841353854292480,catcut_kz_wsy_0930_bigo,com.video.music.editor.maker,kz,32841358427296256,蒙娜丽莎,0,0,-,-,-,0.00,2,-,0.00,0.00,2,-,0.00,0,-,-
2022-10-10,catcut_wsy_09,52773625147726592,应用安装量,42779069810643456,catcut_bd_wsy_0908,com.video.music.editor.maker,bd,32779069811823104,广告-2022090658359-Copy1-1662618439,804,64,7.96%,0.04,0.00,0.03,1,1.56%,0.03,0.00,1,0.015625,0.03,1,1.56%,0.03
